rating,review_text,title,helpful_votes
1,When i first received the product the right bud was not working and now this product i received is in used condition there are scratches all over the case and product is dirty and used. Plus there are missing accessories that is a user manual and USB cable,Received used product with missing accessories,0
1,Dislike,Dislike,0
2,Sound quality is good. But there is no bass. Low notes are not audible. Does not rest in the ear properly. Not worthy enough for the money,Sound quality is good.,0
2,"The worst noise cancelling feature. It doesn't cancel background noises, only decreases a bit, but for the other side of the call, recipients can hear the background noices clearly. So, not worth it in this price range.",Noise cancellation feature not working,0
2,The environmental noise cancellation feature is missing. The person on the call will hear a lot of noises.,Voice call clarity is very low,0
2,Product was not working properly,One bud not working,0
2,Sound is very low no baas,sound Quality is very low,0
2,"Not worth it, u can get better sound quality in this price range from realme , OnePlus , this product of jbl not upto their standards",Expected better from 245 nc,0
2,Bass was perfect..but sound very less…when ur watching a movie sounds ok..but u have to lesson heavy sound music u gonna disappoint,Low sound,0
2,"Sound quality is not good enough, battery drains after 3 time full charging. No ENC at all. Touch function of volume increase or decrease won't work when we use only 1 bud. Over all dont buy this. And the slide thing not good.",Dont buy this thing,0
2,"बहुत ही खराब प्रोडक्ट है। साउंड काम है लेकिन साउंड की क्वालिटी अच्छी है। ANC ठीक से काम नहीं करता है। बैटरी बैकअप कोई खास नहीं है।बेकार है ये दाम के अनुसार।इसका दाम 2,000 तक होना चाहिए।",गुणवत्ता,0
2,Charging is pure only 20 minuets working,Charging,0
2,Don't connect charger. Not charging. too many times.,Don't connect charger,0
2,Magnet of the tws box is very poor. If I shake it open automatically. It's not worth.,Magnet of the box is very poor,0
2,"the sound quality is good enough for quick calls or meetings on the go but this is not made for listening to music , the bass is to overpowered and mid and high are not cleary defined ( with reference to air pods pro as benchmark for testing ) - support me @ nomimore.org","Sound Quality is very bad, battery is good, comfort is good",0
2,"After some days of usage, the earphones will not turnoff even though they are inside the case and the lid is closed.",Connectivity issue,0
2,"after using sony, oneplus, and normal earbuds, this product is not worth 5k.  It has lag, its slow, 6mm drivers are very low and weak, have used other 6mm drivers earbuds, this is not worth the price.",not worth 5k,0
3,Bass quality best but i use under 15 days oldBuds air 6 pro left side not workingI am canfuse ye teal hai ya fake,Realmi buds air 6 pro,0
3,Nyc product good quality,Buds,0
3,Packaging ase thi jase phly use kiy huey ho dono box already open ty so next be careful,Volume bhut late ati hai or volume bhar ati hai,0
3,Battery life not good 😕 It is said that the battery will last for 40 hours but it only lasts for 10 hours. Combining the case and earbuds.,"Ear buds are good, sound quality is also good but battery life is not good.",0
3,"I purchase this earbud, sharing my feedbackPros:1. Sound quality is good.2. Majorly my focus was mic, I have purchased two earbuds before but their mic quality was not good. so bought this one. I found its mic quality very good.Cons:1. After using it for 1 hour, it's pain in the ears, and its size is not appropriate. Not comfortable in ear.2. Battery time is too less, continuous use of 3-4 hours, it goes down.3. I wasn't expecting these cons from Samsung so it seems overpriced.",Overpriced and less battery with big size,0
3,"I have used galaxy buds 2 that’s quality is better than this galaxy buds2 pro.Sound Clarity is not good, not value for money. I’m disappointed with this product.",Quality is not good,0
3,"Don't buy this product, waste of money, call noise cancellation, base sound not good",Not good,0
3,While using the earpod sound is not getting clear and very low on the full volume,Sound issue,0
3,Left side ear budes is not working and completely dead after few days,Ear Budes problem,0
3,I bought this buds after watching many YouTube videos and all praised this product but I didn't like it much. Previously I was using OnePlus buds Z2 and that sound very good if compared to this. If you like EDM or Hip Hop music you are not going to like it at all. Loudness and bass is very low.,Good but not great!,0
3,"For gym or listening to musics and talking indoors it is good to go..But for calls when your are travelling in open vehicles like bus, auto,train. Then it's a bit difficult to hear.",Average,0
3,When it works it's good but one earbud doesn't work at all,Not bad but not good either,0
3,"Amazing sound, good instrument seperation, comfortable but I am facing issue with sound distortion and it totally destroy the listening experience, I don't know if it is with only my unit or for every product. I am not happy due to this issue I tried resetting so many times but no improvement, I don't know how to counter this issue",Noise distortion,0
3,1*very bad quality2.sensors are not practical...3.sound quality is average4.difficult to control sensors...,Never buy this....,0
3,Not that great but as per price mic n sound is good enough,Okish sound,0
3,"It's a good product but some disturbance I show when I call to someone, otherwise it's sound quality bery good",Not so bad,0
3,Not as good as expected,ㅤ,0
3,"Samsung Galaxy Buds2 Pro is not compatible with Microsoft teams, and it will stop working in the middle of the callListening to music and all is good, except the issue with Teams callIf you purpose is to use in calls, better look for something else.You can refer to several complaints regarding the same over internet",Have issues with Microsoft Teams calls,0
3,"Good for calls, avg for music",Avg for the price,0
3,The sound is okayish. Bass is not that great. Lacks clarity. Fits perfectly btw. Connect instantly. Finish is good,Okayish,0
3,This is an okay productThis feels average and other buds at half price point match the quality of sound it has.I wish it had a punchier bass response.This could have been priced lower by samsung,Okay product,0
3,"Looks premium,  and case and pods are strudy,  both Apple and Samsung s23 connected seamlessly,  the tap and hold options is buggy in iphone + hey melody. No major difference between ANC and transparent mode, the voice is electrified. Not sure if this justified the cost.",Not a great product,0
3,The media could not be loaded.,Product is not good it's disconnected in one. One minjut,0
3,Sound quality is good 👍 but battary backup is not good,This whole is normal . Or manufacturer default,0
3,"Right ear bud is not working after 6 month,poor service by ptron",Not working,0
3,Voice quality is not much it should b good,Average,0
3,"honestly,very mediocre. i guess it's okay for the price? but i would rather put in 100-200 rs more and buy a better pair. i haven't tested the battery life yet but judging on sound alone it's not that good. music is not very clear. if you really like to feel the music, you'll be disappointed by these. i know I was. wish i could return these and get a refund.",mediocre at best,0
3,Very much impressed with the sound quality and battery performance.,Good one,0
3,Sound quality is good and design also super but one thing battery is not suitable for this amountI am not prefer to buy this item for othersI am listening a music for 1/2 hr it will reduce from 100% to 85%My preference is redmi buds it will listening a songs for 6 hrs battery percentage is 100% to 88%,Product description l,0
3,"I am a regular user of oppo enco x2 pro tws and bose qc35 ii over head,Its in comparison to both,Hands down, oppo enco x2 pro is the best ive tried.Best anc, best audio output,Galaxy buds 2 pro dont come close to those.Range is avg, audio and anc is okish,And they dont fit my ear ( every reviewer said the best fit)Overall disappointed.Ps. Also a user of galaxy buds live, they both sound same.",Not the best 😕,0
3,Good,Nice,0
3,"It may seem good in pics, but it's not as comfortable and it's sound quality isn't so good. But for the price it can be used.",Its comfortability,0
3,Value for money,Value for money,0
3,Low Sound,Low Bass,0
3,Loosing connectivity... Not good,Not worthable,0
3,Cawalti no good,Batare cawalti loo,0
3,Sound is good . Calling quality is also good but size is small.. ok go fot it,Good,0
3,It is good but little problem while hearing,Cannot hear properly,0
3,Average earbuds not too much good..and sound bass also... average I will not recommend to buy..,The earbuds are not very good,0
3,Good,Good,0
3,Not good as expected though the sound quality is excellent,Battery drains,0
3,Ai not working properly that's ptron I2203Delivery properly that's product Ai not working properly this is only reason to return this ptron product one side ear buds working left side ear buds working but Right side didn't working properly,One side ear buds working another ear buds didn't working Ai couldn't connect,0
3,"Buds2 pro connect to moto edge30ultra in LE audio mode - 24 bit LC3 codec, which is supported but if anc is off it makes stuttering sparking sound in both buds, also buds connect to Bluetooth as 2 seperate devices in group, HD audio - aac codec mode worked ok-no disturbing sounds. Bluetooth 5.3 might fix the issue or maybe a Samsung flagship phone. Compatibility is not great, comfortable, durable, in hand feel is great but doesn't feel the value for money.",This wasn't expected,0
3,Need replacement it’s under warranty till 2025 it’s not working properly,Replacement,0
3,Good product,👍,0
3,Product is good but active noise cancelling is not that of good quality.,Product is good but active noise cancelling is not that effective,0
3,"360° spatial sound and 24 bit hd audio is hilighted feachure that will not support in non Samsung phones. That is a big drawback, that's why giving a huge discount.",Most feachurewill not work in non Samsung phone,0
3,"I am using it for 2 days, its battery backup is very good, but its sound quality is not that good, if you want battery backup then you can buy it, but its sound quality is not good.",OnePlus Nord buds 3 pro,0
3,"Build quality should have been developed bit more, but it's okWorth for the money!!",Nice 🙂,0
3,Prize kaafi jyada hai but in the real sound without eco hai...like wire leads sounds,Product,0
3,Build quality need more and not audible clearly,Good,0
3,Good,Anilbhai Vasava,0
3,"I already have sony ear buds. After hearing the hypes I ordered this . I usually use for tv audio. Bluetooth connection good. Ear fitting good. Audio anc good with right plug. Audio experience is average. Fitting in the box not easy. We have to maneuver. In sony better audio experience and replacing in the box is so easy, with perfect magnetic fit. May be a better ear buds with samsung phone as other reviews mentioned, I don't have one",Not upto expectation,0
3,Sound quality,Sound good,0
3,Good sound clarity but I have a problem when charging sometimes.,Good clear sound,0
3,It's better,10 minits.  Aftter.  Atomicatake ga ist shutdown,0
3,"Good for money.Bug it completely blocks your ears ; you can’t co hear anything going on outside . Doesn’t fit ears well . Otherwise sound and base are perfect .But if one earphone is placed away and only one is used , the other person can’t hear you speak.",Average,0
3,"The media could not be loaded.
                



When I compare it with OnePlus, noice cancellation is poor.",Noise cancellation is poor,0
3,Not so gerat quality,Ok,0
3,The sound quality is not worth the trouble that I went through when I bought these. The first product I recieved had hardware issues and for a moment I thought they are gonna explode in my ears literally. Thankfully Amazon gave me a quick replacement so hats off to that.,Consider these as the last options,0
3,Office usage okay. Otherwise is not fit to travel.,Sound quality average,0
3,"Design ok, battery back ok, but connectivity issuesWill come",Average,0
3,"Totally disappointed 😔If you play song on loud volume, person nearby you, enjoy same like you",Totally waste of money,0
4,Average,Not happy,0
4,Sound and. Bass quality is very good battery life also very good 👍🏻 nice looking nice 👍🏻 and. Most important performance is nice but 0.3 sec paly bake. In touch buttonApplication is good but more impure in future waya update all good burd in this price point all so bye it,Battery life,0
4,Good 👍,Good,0
4,Great for calling and music. Noise cancellation and comfort could be improved.,Value for money,0
4,Good one with good base and notes. little bit of distortion while on calls. Not suitable for Bluetooth which are older version ..4.0 or before 4 as lot of distortion with my Laptop connection which has 3.5 BT version...where as other buds are OK...Should have offered App control (Customizable) touch control...else So far So Good...using it for more than a week...,Value for Money,0
4,"Product is decent, compare to quality, and sound is also good",Best...,0
4,"Sound quality, battry backup..Overall good product",Great product.,0
4,Amazing experience,Sound clarity,0
4,The ear buds are totally awesome they look and their voice oh my God,Satisfied,0
4,Sound quality is good,Nice product,0
4,"The product is really good the sound system, it's features, button function etc but major problem which I am facing is their charging issue. It takes 2 hours from 10 to 100 percent and spending more than 4000 it is not worth it so if you are okay with charging issue you can definitely buy it.",Ita battry issue,0
4,one ear bud not working,ok,0
4,Value For money must buy if you looking under 1200 Rs I will Edit review after one month use for now this is very good to buy this eaerbuds way better than boat and other brands 4 star for build quality issues you have to use cover for white colour,It's Amazing,0
4,Every thing look very good and nice.It is one of the best product of cross beatYou can go for it.,Wonderful,0
4,It does not need charging in 10 to12 I did not charge it in 10 to 12 days it is medium in fitting durability is too good fit size is also good cancel noise is80% durability warranty is good,Oneplus nord buds 2,0
4,Great performance and syncs well between laptop and IPhone. No ANC while using with laptop.,Good product but no ANC while using with laptop.,0
4,Sound not clear During bike helmet use,Mic issue during Bike riding,0
4,Just go for it guys it has a best sound quality ❤️ and very smooth bass 😍 one plus product's are always banger 💥,Best....,0
4,i like it's sound.,best product,0
4,Nice product and quality,Nice,0
4,"Nice sound,bass quality also good",Quality product,0
4,Very useful and worth every penny,Very good product...,0
4,Atom is very good product,Very good,0
4,I like packaging and also sound quality,Sound is much soft,0
4,Product is good.,It's a good product.,0
4,A very good product and is the best under 1500 but I gave 4 stars because I did not recieve in the package. Not issue with Amazon but issue with company. But overall I had the BEST experience with this product,Warenty,0
4,Backup is average,Good sound quality,0
4,The product is good and have multiple features.,Good Product,0
4,Product is good in price,Base music calling is good,0
4,1. Fit in ear is good.2. Very light weight3. Sound quality is nice (tune as you like!)4. Easy to find (alarm)5. Reasonable battery life.6. Touch functionality is bit tricky! I'm not comfortable. Single/double/triple taps always gets mixed up 😮‍💨,Nice TWA headphone!,0
4,Good,Not so good,0
4,Awesome...!!!,ANC,0
4,Sound effect is minimal. But you can download an exclusive Bluetooth App and enjoy. Operations are usee friendly. Comfortable to wear. Battery life is sufficient.,vijayjagadeesan@gmail.com,0
4,good product with good quality and comfortable fit in the ears and sound is delivered by these earbuds by crossbeats,good product,0
4,This product is awesome as always. I got it from sale today,Quality,0
4,"It's super earbuds, bass music and calling super, i have used it indoor and outdoor calling, it's super and i used it at bus, it's amazing, ANC AND ENC reduce 90%, especially bass and calling super duper, earbuds battery backup also good if turn off ANC (7 to 8 hrs) with ANC 4 to 5 hrs in  upto 50% volume, if the battery drain fast, reset it",Super excellent,0
4,,No warranty card,0
4,Sound quality is best with noise cancellation. Cool appearance with good fit and connectivity. Only one thing is missing that is you cannot connect multiple device. If you want to switch to another device then it has be uninstalled in first device.,Best performance with noise cancellation,0
4,Accordingly going with price,Good product,0
4,good,good,0
4,This product is very useful,Useful,0
4,Good quality,Nice,0
4,The media could not be loaded.,It's good 👍,0
4,"The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:09Loaded: 33.37%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:09 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedEnglish (Automated)Audio Trackdefault, selectedFullscreenThis is a modal window.


Battery life is good, sound is really good, In-ear fit is great, doesn't even hurt after long day of use.Active Noise Cancellation is average.For the price its great",Good enough for price,0
4,Excellent,Ok,0
4,Right side is not working,Product not working,0
4,Average quality,Average,0
4,Good product,Good,0
4,It's good . you can purchase it . it's worthy,Good,0
4,The best product in its category for this price range (i got this for 1500 INR) . ANC is suprisingly good only thing i did not like was the stickers 😂 . Transperant and bad glue very cheap. Remember noise a chain is as strong as its weakest link.,VALUE FOR MONEY,0
4,Product quality good and design good,Design good,0
4,Durability,Sound is poor,0
4,"_Noise Cancellation & Mic Issues_- Noise cancellation inconsistent, sometimes switches to Transparency mode automatically- Microphone quality not good, especially in noisy environments (trains, buses)- Sound quality experience extremely super but noise cancellation & mic need improvement- Gaming mode is okay, but could be better_Expected Better at This Price_",After using 2 weeks,0
4,Cool Active Noise Cancellation,Good,0
4,"The earbuds perform very well for this price range. It comes with ANC, Dual device connectivity, App support and various modes for personalised experience like noise cancellation modes (ANC, Normal, Transparent), Spatial audio, Dynamic mode, Bass adjustment and game mode as well.For the detailed part-Noise Cancellation: It works just fine. It cancels out noise from fans, coolers and other equipment and also noise from cars and bikes to an extent. Although I hear a shrill shushing sound while noise is being cancelled.Battery: I use the buds at high-moderate usage. The battery lasts for 5-6 hours for the buds and 3-4 days for the case. So, two charges in a week are fine.Connectivity: The buds do sometimes have abnormalities in connections like breakage in voice while in dual connection mode and sometimes but I think it gets better with passage of time.Fit: They fit good into ears but be sure to use right sized eartips. I had to go a size smaller for my ears when normal ones started to pain and discomfort.Colour and finish: It comes with a glossy finish so be ready for lots of scratches. Other than than build quality is nice.Touch controls: They provide customisable touch controls through realme link app for double tap, triple tap, touch and hold for each earbud for next track, previous track, voice assistant, ANC modes and volume control as well. Although, I feel the app could be improved.Mic: From what I have heard from the receivers, the mics work just fine. They also cancel external noise to an extent.Voice Clarity: The voice comes up to be clear and sound. The app provides features to adjust the frequencies, bass and other parameters.Overall, its a good-to-go purchase and I would recommend it for 1.5-2k price range.",An All-rounder in this segment. Read the full review 👇🏼,0
4,"The buds has good design and does work for more than 6 hours if used continuously. It gets connected very easily to the phone. Only issue is that the fitting, if used for longer hours starts to get pain in the ears",Good product,0
4,The media could not be loaded.,Money worth,0
4,It is worth to purchase it.Decent quality at this price,Value for Money,0
4,Preety good,Good,0
4,"In this price segments,this is the most premium looks earbud I think,sound quality is also good but I think must work in base",Most premium look,0
4,It is best earbuds and functioning of the buds is good the buds connect to the mobile is too fast,Functioning of the buds is perfect,0
4,"scratches after a week 😳1. The design is good ,compact, and the built quality is also good but the case gets scratched on normal surfaces also2. ANC Works properly, Transparency mode also works well3. Sound & mic quality is best in segment and worth at price of 2000rs4. Bass can be adjusted as per personal needs and best for small ears, fits properly",Best in segment best audio quality and anc,0
4,Impressive productComfortableGood lookingFast chargingBest mic qualityGood Noise cancellationGood mic,Best Sound Quality,0
4,"Noise cancellation is better than oppo enco 3 pro but has sound quality a bit worse than oppo enco 3 pro, but for me sound quality is manageable(for me noise cancellation has higher priority)",Good tws,0
4,In all the segment every thing is perfect no complaints about the earpode everyone should try this and 💯 worthy product from OnePlus that sure.,Fantastic 😊,0
4,Sound quality is good but slightly heavy buds in comparison and case is also big in size.,Average product,0
4,Mind blowing purchase just go for it if you have any Samsung device you will be really enjoy Samsung ear Budds are very easy to operate in samsung wearable App.,Samsung Ear Buds 2 Pro,0
4,Very good earbuds...truly made for gamers...just need to do some setting in additional settings to get the lowest latency possible....but a little uncomfortable and get removed for ears by its own....they are strong and very good design...i love it,Review,0
4,UFO design was liked by my son. He loved it. Good sound and bass.,Pretty Nice UFO,0
4,"Good Quality, noise cancellation",Good buy,0
4,"For the price, it’s an audio gem. Great in ear comfort. Sound quality is more than decent. Even the case and earbud placement gives an elite feel. Definitely recommend if you looking for a decent earbuds for the price range.",Worth for the budget,0
4,"Sound quality is great, fit in the ear is also great and loudness is also more than what my ear can handle.",Really nice.,0
4,"Has good sound quality and good connectivity, definitely go for it under 600 , i purchased it at 450 rs.",Over all an excellent product,0
4,Mic not works good when on bike,Good quality,0
4,Glorious sound quality ❤️Bass excellent 👌Build quality 👌Design soft 😘Thanks amazon 🥰Anc next level 💯Battery good 👍,Samsung fan 😍😍😍,0
4,The charging ports are not working properly,Manufacturing defect,0
4,,Good,0
4,,Nice,0
4,The product is as shown as the picture and also it is worth the price and has been beautifully designed,Amazing product and awesome price,0
4,It’s value for money because I bought the same thing four or five months back. It’s working fine now no issues. It’s awesome. I like it and the sound also so good. Mainly I like the bass quality.,Awesome quality.,0
4,Very good audio and built quality but price only little expensive,Good product,0
4,"It came in great condition and the delivery was on time thanks to Amazon . Now for the product 😃 I think its perfect for that price tag the sound quality is AWESOME an the ANC feature even in medium level its perfect almost eliminates all surrounding noises.  The build quality is fine even for plastic build and charges really fast in about ten to twelve minutes.  It comes with bluetooth 5.4 and obviously its really fast while pairing even with some older devices which comes with older versons (mine's 4.2 yet there was no lagging issue or anything and also it's no Oneplus phone keep that in mind) , it's another feature the IP55 protection from sweat and dust is good for it's longevity and the battery is also enough for normal users like me. Overall performance wise its 9/10 for me considering the budget A VALUE FOR MONEY INDEED 👌 Those who are looking for mid budget buds I would 100%  reccomend it for them GO FOR IT.",Awesome buds for that price tag,0
4,"Sound superb, look superb",Very good sound quality,0
4,,Good product,0
4,good product,good,0
4,Always good,Super,0
4,Nice very,Good,0
4,The buds are good build quality is also good but when you first time hear sound you find the voice is low and the bass very boosted but after tweking some function in app it now work perfect the fiting is perfect due to the small stemp over all not the best but preferable under 1500 and if you buying audio device please select over the Ear head phone they are way better then tws ...,Good product under 1500 not the best...,0
4,Charging ability is very good.,Quality,0
4,Very nice product,Stylish and good product,0
4,,Top notch quality,0
4,ANC works well enough in reducing environmental sound.Produce best sound.This tws is highly recommended for base lovers.Build quality is good.It's has dual paring.It's build quality is good.Google fast paring is there.,One plus buds 3pro,0
4,"Product packing was good which was sealed, quality, finishing, weight, sound, active noise cancellation everything is good, bluetooth connectivity is quick. yet to test touch controls. so far so good satisfied with the purchase.","Good Product, worth buying",0
4,Voice control is not available  call not cut from buds,Voice control not available,0
4,Design is subjective but I personally liked it.Noice cancellation works very well .Best in this segment.,All flagship features in budget range !,0
4,Product is good,Delivery delayed but finally got it,0
4,When I open the box the bill is missing and so scratch on the product,Heavy bass good for music and game lover,0
4,can be improved,too costly,0
4,Nice one,Good sounds,0
4,Sound is awsome..,Sound,0
4,Battery backup and sound quality,Good,0
4,Quality,Gud look best 👍💯sound 🔊,0
4,"Good Build Quality, Sound Quality, Mic Quality, Perfect Fixing but Little bit late sound in games",Build Quality & Outlook,0
4,Product is good overall but battery in the case discharging fast,Battery discharging fast,0
4,,Nyc,0
4,nice,nice,0
4,In Build is descentGreat soundEasy fit,Worth the money,0
4,"Mic functionality is good.Connectivity is good.Fitting on ear is good.I liked mostly the features on melody app and as well as sound quality, active Noise cancellation is working good. Wothy for money.",Active Noise cancellation,0
4,Best Earbuds under 3000. I purchased it for Rs. 2299.,Best Earbuds under 3000. i purchased it for Rs. 2299.,0
4,"Overall value for money,but little bit different from this item clr  n design 😃, overall good",Value for money 💰,0
4,"अच्छा ब्लूटूथ एयरबर्ड है, साउंड क्वालिटी अच्छी है, कंपनी 200 घंटे बैटरी बैकअप का दावा करती है वो जूठ है फिर भी बैकअप अच्छा है",Good product,0
4,Product is goodBut charging indicator is not there,Average,0
4,"Connectivity is greatPerformance is also greatSound quality is great (some Equalizer adjustment are required for balancing the audio which is base heavy)Worst part is fit.Somehow, I find them uncomfortable after few hours of use everytime (might be personal issue)Noice cancellation puts pressure on earGo ahead if you think your ears can accomodate a Lil bit bigger earbuds","Sound quality is good, but not comfortable in ear for longer use",0
4,Not working properly,The product,0
4,🤞🤞,Good,0
4,"Yes I used two days so far  noise earbud , decent sound and phone audio call quality was good budget 👌 friendly...Battery life was goodConnectivity not automatically connected all the tymeVolume control goodMic quality goodPortability was ok",Look stylish,0
4,"I like the sound quality so far , nd the case it is much better than previous ones the.",Noise N1 pro,0
4,Sound quality is good. Only fault I found is its low volume even when the volume of Bluetooth is at max.,Good Product,0
4,Product is good .,Overall nice product,0
4,"The TWS are amazing. Sometimes there is a delay when you are using dual connectivity and start playing something on the other device. Otherwise, the earphones are really good and nice looking too.",Excellent TWS,0
4,A best in segment for music listening,Great deal,0
4,Amazing experience. It's worth the money. Must buy,Nice Product,0
4,,Mini Sound Theatre.. 🔊🔊,0
4,Noise cancellation is very good,ANC,0
4,Awesome product (Value for money). Great sound quality with great noise cancellation. Good option for office calls/meetings. Needed more color options.,Awesome product (Value for money),0
4,Overall a good product for a deal price!,Has a bunch of features,0
4,Smooth and easy fit,Good,0
4,Just brought todaySound - 9/10ANC - 7.5/10Connectivity - 9/10Battery - 8.5/10App support - 9/10Volume - 9/10Customisation - 8/10Matt finish case looks premium and small and easy to carryThis is one of the best earbuds I have ever came across... I brought it for 2kI m just loving itLoud voice and it's so good with custom modesCalling is also good ( I only used indoors but still it's decent )Didn't like transperancy mode that much...,Genuine review,0
4,"The media could not be loaded.
                



Osm",Very nice,0
4,Good Looks and Sound,Good Productt,0
4,"Overall the product is good, easy to use, good voice quality for calls and music.",Best in the price range,0
4,"Noise is good , increase battery life",Good product,0
4,Good looking and good bass 🔊,Good,0
4,That's perfect anc and sound quality i love it that is best in that price,Perfect sound quality 👍,0
4,"Very good product, but I'm deducting one star because it lacks ergnomics , can't put the box in pocket without it bulging outWish thatthey bring the ergonomic design to the budget lineup too","Good, could be better",0
4,It's volume is bit different you will get headache if you listen for longer time but if you lower volume it's not audible properly but noise cancellation is super,Volume,0
4,More then a year still working fine sound quality is good,Nice,0
4,"(1)  product quality is good  ,(2)  listening to music/calls  is good  ,  could have been better if one more option with less bass was provided  .(3)  packaging is good ,(4)  delivered as promised  .overall , happy with the item  .",good quality product,0
4,,Design,0
4,Colour is not properly match along with photo,Colour problem,0
4,Sound Quality very good.,Sound,0
